Timestamp,Name something parents miss about their pre-baby lives,Name something new parents constantly buy,Name an event parents do not want to miss in their child's life,Name something people do to entertain a baby,Name a good toy for a new baby,Name something that's cute when a baby does it but not when an adult does it,Name a reason the baby might be crying,Name something new parents will try to do when the baby's asleep,Name a place where people hope not to have a baby sitting near them,Name a situation you don't want to be in when your water breaks,"The parents just said ""oh no!"" ...what did the baby do?","If you could go back to being a baby for a day, name something you'd enjoy the most",Name something your partner does that's just like a baby,Name something you would not want a babysitter doing on the job,"Name something a baby shouldn't touch, but might try to"
4/5/2023 16:59:56,Night life,Diapers,First steps,Read,Teether,Fart,Gas,Eat,Airplane,Sex,Diaper blowout,Sleep,Drool,Sleeping,Socket
4/5/2023 17:01:31,sleep,diapers,first word,play peek a boo,rattle,burp,hungry ,clean,airplane,at work,poop,sleeping,whine,drinking,outlet
4/5/2023 17:03:43,Sleep,Diapers,First steps ,Baby talk,Spoon,Poop their pants ,Hungry,Everything ,Airplane,On the bus,Spit up ,Sleeping,Poop a lot ,Drinking,Outlets
4/5/2023 17:03:55,Showering,Nappies,First steps,Peekaboo ,Teddy,Fart,Wet nappy ,Sex,Airplane ,Sex,Poo,Sleep,Fart,Smoking,Sockets
4/5/2023 17:04:54,Sleeping in,Coffee,First steps ,Funny faces/sounds ,Rattle ,Pooping face at mealtimes ,Hungry,Sleep,movie theater ,At work ,Diaper blowout ,Being carried around everywhere ,Gets hangry ,Snooping through drawers ,Literally everything 
4/5/2023 17:07:13,Sex,Wipes,First steps,Act silly,Spoons (anything that ISNT a toy),Open mouth kisses,Overstimulation,Shower,Airplane,Hiking,Took the diaper off,Food in demand,Random naps,Making TikTok’s ,Phone charger (wires)
4/5/2023 17:12:34,Sleep,Diapers,First steps,Funny faces,Teething ring,Farting,They're hungry,Sleep,An airplane,Public transportation,Fell down,Getting to nap all the time,Eat all the time,Drinking,A hot stove
4/5/2023 17:12:57,Sleep,Diapers,Birth,Sing,Contrast cards,Spit up,Hungry,Clean,Airplane,On a plane ,Blow out in public,Contact naps,Complain,Smoking,Breast pump tubing
4/5/2023 17:15:28,Sleep,Diapers,First steps,Sing,Teddy bear,Fart,Hungry,Clean,Airplane,Stuck in traffic,Poop,Naps,Nap,Drinking ,Everything 
4/5/2023 18:01:54,Sleep,Diapers,First day of school,Dance,Rattle,Poop their pants,Hungry,Nap,Airplane,At work,Spit up,Cuddling,Whine,On phone,Knives
4/5/2023 18:18:14,Sleeping in,Diapers,First steps,Peekaboo,Rattle,Farting,Hungry,Sex,Airplane,In traffic,Spit up,Naps,Laughing at farts,Watching TV,Cell phones
4/5/2023 18:23:36,Sex,Diapers,First words,YouTube,The kick piano thing! ,Farts,Hungry,Sleep,Strip Club,Strip Club 😂,Blowout,Sleeping 20 hours a day ,Loves the boob ,Drinking,The dog’s tail
4/5/2023 18:28:38,Date Nights,Diapers,First steps,Shake a rattle,Mirror,Farts,Hungry,Eat,Plane,Shopping,Pooped,Sleeping,Make messes,Drinking,Knife
4/5/2023 18:28:50,Sleeping in,Diapers,First steps,Sing songs,Animal blankie,Fart,Wet diaper,Housework,Movie theatre,Work,Poop during changing,Being cuddled,Wants boobs,Sleeping through cries,Dog food
4/5/2023 18:30:23,Sleep,Diapers,First steps,Sing,Fisher Price Kick and Play,Farts,Hungry ,Clean ,Airplane ,Grocery shopping,Diaper blow out ,Sleeping ,Deep sleeper,Sleep,Knives 
4/5/2023 18:31:50,Regular showers,Diapers ,First words,Sing,Kick and play piano ,Fart,Sleepy,Eat,Airplane,Work,Blowout,Being catered to,Stretch ,Drinking,Dog food
4/5/2023 18:32:50,Sleep ,Diapers,First laugh ,Sing,Rattle,A big yawn ,Hungry ,Watch tv,Airplane ,At work ,Spit up ,Snuggles ,Nothing ,Smoking ,Cats
4/5/2023 18:42:45,Nights out,Sleep products for baby,Wedding ,Dance,Rattle,Burping,Hungry,Shower,Restaurant,Traffic jam,Diaper blowout ,Sleep,Wants snuggles ,Drinking,Hot stove 
4/5/2023 18:43:13,Watching TV,Take out ,First steps ,Make silly faces ,Rattle ,Pooping ,Sleepy ,Sleep ,In a bar ,In an airplane ,Dropped something ,Sleeping ,Picky eater ,Using their phone ,Electrical outlet 
4/5/2023 18:44:44,Sleep,Diapers,First steps,Make faces,Mobile,Fart,Hungry ,Do laundry ,Airplane,At work,Blowout poop,Sleep whenever ,Whine,Sleeping ,Inside my mouth
4/5/2023 18:44:50,Sleep,Nappies/diapers,First steps,Sing,Rattle,Breaks wind ,It's hungry ,Sleep,A plane,The supermarket ,Vomit,Cuddles,Sleeps a lot,Drinking,The plug socket
4/5/2023 18:45:17,Eating at a restaurant ,Diapers ,First words ,Dance,Rattle ,Poops,Dirty diaper ,Bathe ,Airplane ,At work ,Pooped through their clothes ,Napping ,Sleeps ,Smoking ,Coffee cup 
4/5/2023 18:48:01,Sleep,Diapers,First Steps,Make silly noises,Rattle,Fart,Hungry,Sex,Movies,At work,Spat up,Being held,Likes having his head scratched,Sleeping ,Electrical socket 
4/5/2023 18:49:59,Sleep,Diapers,Birthdays,Sing,Pacifier,Play with food,Hunger,Relax,Movie theater,Hiking,Crap his pants,Stroller ride,Liking boobs,Smoke,Electrical outlet
4/5/2023 18:50:17,Sleeping through the night,Diapers,Saying their first word,Make funny noises/faces,Rattle,Fart,Has,Sleep,Plane,Plane,Throw up,No responsibility ,Gets hangry,Smoking,Hot plate
4/5/2023 18:52:28,Sleep,Diapers ,The birth,Peek a boo,Rattle,Farting,Gas,Sleep,A roller coaster,On an airplane,Have a diaper blowout,No responsibilities ,Get cranky when hungry ,Dying ,Everything dangerous 
4/5/2023 18:54:41,Sleep,Diapers,First steps,Baby talk,Lovey,farting,hungry,sleep,movie theater,traffic,spit up,sleep,cries,sleeping,tv
4/5/2023 19:05:35,Going to the movies,Diapers,First time walking ,Bright lights and happy songs,Fisher Price piano kick matt,Poop then smile and laugh,Hungry,Sleep,Airplane,"Large event (concert, convention, etc)",Diaper blowout,Instantly falling asleep,Baby talk,Having friend/dates over ,My hair
4/5/2023 19:05:49,Doing nothing!,New baby clothes,First word,Baby talk,Rattle,Fart,Hungry,Clean,Airplane,In the car,Poop,Sleep ,Sleep soundly!,On their phone,Electrical outlets/ cords
4/5/2023 19:05:56,Alone time ,Clothes,Walking / first steps,Read ,Dancing Cactus,Poops on someone,Hungry,Wash dishes,Restaurant ,Grocery shopping ,Ate something off the floor,Being carried ,Watches moving objects,Sleeping ,Wall outlet 
4/5/2023 19:06:08,Spontaneous going out,Diapers ,Birth,Give them their keys,The package it came in 😂,Public nudity,Hungry,House chores,Airplane ,On a boat,Blowout poop,Sleeping/napping,Whine,Sitting on their phone ,Kitchen knives 
4/5/2023 19:10:25,Sex,Diapers,Birthdays,Sing,Rattle,Fart,Hungry,Shower ,Airplane,Work,Lost a pacifier,Sleep,Fart,Playing on phone ,Outlet
4/5/2023 19:11:18,Restaurants,Diapers,First steps,Read books,Rattle,Snore,Pooping,Eat,Plane,Traveling,Wake up,Napping,Sleep,Sleeping,Pets
4/5/2023 19:15:45,Sleep,Diapers,First words,Make faces,Rattle,Fart,Hungry,Sleep,Airplane,Working,Poop,Playing,Fart,Drugs,Oven
4/5/2023 19:22:02,sleep,wipes,first smile,peek a boo,Mom,Cry,wet diaper,watch a movie ,restaurant ,stuck in traffic,exploded their diaper,being fed when I yelled ,farts,drinking,anything they can choke on 
4/5/2023 19:25:56,Privacy,Diapers ,First word ,Tv ,Rattle,Slobber,Hungry,Sleep,Airplane,Grocery store,Blow out,Sleep,No housework,Meth,Outlet
4/5/2023 19:27:45,Sleep,Diapers,First steps,Sing,Books,Toots,Hungry,Laundry,Restaurants,Traffic,Ate something ,Being swaddles ,Snores,Smoking,Outlets
4/5/2023 19:28:06,Sleep,Diapers,Walking,Make faces,Rattle,Farts,Hungry,Sex,Restaurant ,At work,Blowout,Sleeping,Whines,Drinking,Stove
4/5/2023 19:32:11,Sleep,Diapers ,Wedding,Baby talk ,Contrast book,Poop faces,Hungry,Sleep,Airplane,Airplane,Poop explosion,Sleep,Snore,Sleeping ,Outlet
4/5/2023 19:34:10,Casino,Diapers,First words,Sing,Play mat,Farts,Hungry,Have sex,Restaurant,At the dentist,Blowout,Cuddles,Cuddles,Drugs,Dogs butt
4/5/2023 19:36:35,Sleep,Diapers,First steps,Coo at them,Rattle,Farts,Hungry,Sleep,Restaurant ,Being pulled over,Threw up,Sleep,Poops,Drinking,Hot stove
4/5/2023 19:37:36,Sleep,Diapers,Anything,Dance,Black and white cards,Toots,Lonely,Watch tv,Airplane,Shopping,Fell,Sleeping whenever I want,Eats,Drinking,Hot coffee
4/5/2023 19:39:32,Going to the movies,Diapers,First steps,Act silly,Sophie the giraffe,Sneeze in your face ,Hungry,Sleep ,At the movies,On an airplane ,Blow out their diaper!,Having all my needs catered to,Pout,Sleeping ,My glasses
4/5/2023 19:40:58,Free time,Diapers,First birthday ,Read,Ceiling fan ,Farts,Hungry ,Sleep,Airplane ,On an airplane ,Stinky poop,Sleeping,Sleeping ,Sleeping,A knife 
4/5/2023 19:44:15,Sleep,Diapers,First step,Coo,Rattle,Poops their pants,Hunger,Sleep,Airplane,Bed,Spit up,Doing nothing,Falls asleep anywhere ,Texting,Flame
4/5/2023 19:46:06,Going to movies ,Take-out,First steps,Sing and dance ,Kick & play piano,Eating yogurt without a spoon ,Global warming,Have sex,Airplane,Hang gliding ,Tip over the cats water dish,Napping!,Farts,Sleeping,"The cats butthole, fire, literally everything "
4/5/2023 19:49:23,Date Night!,Wipes!,First Word!,Dance!,Crinkly Toys!,Poop their pants!,Tired!,Eat Dinner!,Library!,Sex!,Spit up!,Sleepy Cuddles!,Fart!,Sleeping!,Daddy’s nipples!
4/5/2023 19:50:41,Date night,Diapers,Crawling,Make faces,Lovevery,Farts,Hungry,Wash bottles,Airplane,Anywhere but home,Blowout,Sleeping,Sleep position,Drinking,Mom’s Hair
4/5/2023 19:54:11,Free time,Diapers,First word,Make faces,Play mat,Fart,Hungry,Have sex,Airplane,In traffic,Diaper blowout,Sleep,Makes weird noises,Leaving,Power outlet
4/5/2023 19:57:35,Sleep,Diapers,1st bday,Dance,Mom and dad,Loud poops,Wind changed,Vacuum,Airplane,Stuck in drive thru,Blowout poop,Unlimited naps,Sleep position ,Sleeping,Electrical outlet
4/5/2023 20:01:58,Sleep,Diapers,First word,Make faces,Rattle,Fart ,Hungry,Sleep,Airplane ,At the theater,Spit up,Not having to work,Gets grumpy when tired,Throwing a party,Stove 
4/5/2023 20:09:39,Sleep,Diapers,First steps,Act silly,Rattle,Farts,Hungry,Clean up,Airplane,In traffic,Fell down,People carrying me around,Makes a mess,Texting,Hot oven
4/5/2023 20:10:11,Freedom,Diapers,First Stepz,Sing songs,Teether,Farts,Hungry,Sleep,Restaurant ,At work,Blowout Diaper,Being carefree ,Farts,Smoking,Knife/cooking utensils  
4/5/2023 20:12:12,Sleep,Diapers,First steps,Sing,Rattle,Fart,Hungry,Sleep,Restaurant ,The Gym,Throw Up,Sleep,Fart,Drinking Alcohol ,Outlet
4/5/2023 20:12:36,Sleep ,Diapers ,First steps ,Funny faces ,Rattle ,Fart ,Hungry ,Shower ,Airplane ,Standing on white carpet ,Shat everywhere ,Naps ,Is excited to see the dog ,Drugs ,Glasses 
4/5/2023 20:14:29,Sleep,Diapers,Birthday,Bounce,Rattle,Fart,Hungry,Sleep,Airplane,Grocery shopping,Peed on them,Swing,Fart,Hooking up,Electrical outlet
4/5/2023 20:18:16,Sleep,Diapers,Wedding,Peek a Boo,Crib mobile ,Burp,Hungry,Sleep,Airplane,At work ,Spit up,No responsibilities ,Eats a ton! ,Falling asleep ,Electrical outlet
4/5/2023 20:21:10,Sleep,Baby swaddles/sleep sacks,First steps,Silly faces,Crinkle paper,Farts,Hungry,Prep bottles/pump,The toilet,In the car,Grabbed DVDS off the shelf,Not having to worry about my own self-care,Side eye,Drugs,Poo
4/5/2023 20:22:36,Un-Interrupted sleep,Diapers,First smile,Peek-a-boo,Rattle,Farts,Hungry,Sleep,Airplane ,In a pool,Hit their head,Being carried around ,Farts,Drugs,Outlet 
4/5/2023 20:23:17,Sleep,Diapers,First steps,Peek a boo,Rattle,Fart,Hungry,Sleep,Airplane ,Airplane,Blow out poop,Sleeping ,Sleep,Smoking,Hot coffee cup
4/5/2023 20:23:17,Being spontaneous,Diapers,All of them,Make faces,Activity mat,Farts,Hunger,Sleep,Airplane,At a restaurant,Diaper blowout ,Sleep,Massive blowout,Sleep,Stove 
4/5/2023 20:26:57,Quiet,Diapers,First word,Silly faces,Sophie the giraffe,Fart,Hungry,Sleep,Airplane,At work,Blow out,Sleeping,Fart,Drinking,Dog tongue
4/5/2023 20:29:05,Sleep ,Diapers ,"The ""firsts""",Blow raspberries ,Rattles,Farts,Gassy,Sleep ,Restaurant ,Be at work ,Blowout diaper ,Contact nap ,Fall asleep anywhere ,Sleep ,Window blinds 
4/5/2023 20:29:51,Freedom,Diapers,First steps,Talk baby talk,A rattle,Farts,They are hungry,Clean,Airplane,At work,Spit up,Sleeping,Snores,Drinking,Outlet
4/5/2023 20:33:33,Sleep,Wipes,First steps,Silly faces,Rattle,Poop,Hungry,Clean,Plane,Plane,Cry,The little things,Sleep,Drugs,Outlet
4/5/2023 20:33:42,Paties,Diapers ,First words,Make funny faces ,Rattle ,Farts,Hungry ,Sleep,Airplane ,Airplane ,Pooped on the floor,Sleeping all day ,Farts a lot,Drugs,Stove top 
4/5/2023 20:39:47,Dates,Diapers,First steps,Sing / Lullaby ,Rattle,Babbles,Dirty diaper,Nap,Airplane,In a store,Throw food,Nap time,Whine,Napping,Stove
4/5/2023 20:40:10,Sleep,Diapers,First steps,Make funny faces,Fisher Price Kick and Play Piano,Fart,Hungry,Sleep,Airplane,At work,Blowout diaper,No responsibilities ,Poops a lot,Drinking,Outlets
4/5/2023 20:41:03,Sleep,Diapers,First steps,Peek-a-boo,O-ball rattle,Farts,Hungry,Sleep,Airplane,Vacation,Big spit up,Seeing everything for the first time,Makes messes,Ignoring the baby on their phone,Outlet
4/5/2023 20:42:26,Sleep,Baby clothes ,First steps,Silly sounds,Kick piano,Toot,Dirty diaper,Each other ,Movie theater ,Fancy restaurant ,Blowout ,Baby snuggles,Stare at boobs,Drinking ,Outlet 
4/5/2023 20:42:44,Sleep,Wipes,First words,Make silly faces,Kick N Play,Fart,Overtired,Eat food,Plane,Dentist,Have a blow out,Sleeping,Move a lot in sleep,Smoking,Everything
4/5/2023 20:42:53,Going out without a baby—only the parents,Diapers,First word,Silly noises,Mat with toys hanging,Fart,Hungry,Eat,Restaurant,Shopping,Poop everywhere,Doing nothing,Asks for food,Sleeping,Cords
4/5/2023 20:45:29,Sleep,Pacifiers,First steps,Funny faces,Empty box,Run around naked,Hungry,Laundry,Airplane ,Concert,Eat dirt,Being carried ,Farts,Smoking,Eye glasses 
4/5/2023 20:46:29,Food,Wipes,Smile,Sneeze,Their hands,Pooping,Tired,Sleep ,Nowhere babies are great ,At work ,Licked something ,Big naps,Be cute ,Crying,Hair
4/5/2023 20:46:41,Freedom,Cute baby clothes,First steps,Peekaboo,Rattle,Burps,Hungry,Sleep,Restaurant ,At work,Spit up,Naps,Messy eater,Smoking,Stove
4/5/2023 20:47:53,Money,Formula ,First steps ,Peek a boo,Soft blanket ,Breastfeeding ,Poop in diaper ,Sex,Restaurant ,Boss’s office ,Throw food ,Napping ,Poop all day ,Drinking ,Poopy diaper 
4/5/2023 20:51:07,Sleep,Diapers,First steps ,Sing ,Sophie le giraffe,Fart,Hunger,Sleep,Plane,Vacation ,Poop explosion,Cuddles,Burp,Sleeping,Hair
4/5/2023 20:52:28,Partying,Diapers,Graduation,Act a fool,Rattle,Grab boobs,Hungry,Sexy time,Airplane,In prison,Fell,Nothing,Sleep position,Sleep,Drugs
4/5/2023 20:55:43,Silence ,Clothes,Anything/everything ,Silly faces,Kick n play ,Fart,Gas,Sleep,Movie theatre,Camping ,Blasted poop across changing table ,The snuggles ,Gets fussy when overtired,Drinking,Fire/open flame 
4/5/2023 20:59:52,Sleeping ,Diapers,First steps,Make silly faces ,Fisher Price Kick n’ Play Piano (IYKYK),Screech-laughs,Hungry ,Shower,Airplane :/,On a work call,Had a blowout ,Being snuggled and fed on demand ,Sleep in weird places ,Smoking ,The dog’s food
4/5/2023 21:01:16,Sleep,Diapers,First steps,Shake keys,Rattle ,Farts,Hungry,Clean,Airplane,Driving,Blow out,Cuddles,Cuddles,Smoking,Electrical socket
4/5/2023 21:03:15,Freedom,Diapers,First steps,Dance,Keys,Farting ,Wet,Laundry,Restaurant ,Grocery store,Peed on them,NAPS,Whines,Sex,Stove
4/5/2023 21:03:17,Free time ,Diapers,First steps,Sing,Piano,Farts,Hungry ,Sleep,Airplane ,Airplane ,Spit up ,Sleeping ,Snore,Drugs ,Oven
4/5/2023 21:05:35,Alone Time ,Diapers,First word,Make funny faces,Teether ,Drools,Tired,Sleep,A bar,Grocery store,Spit up,Sleeping ,Sleeps,Smoking ,Electric outlet
4/5/2023 21:06:07,Sleep,Diapers,Graduation ,Peekaboo ,Crinkle paper ,Fart,Hungry ,Sleep ,Airplane ,At work ,Peed himself during diaper change,Being held ,Wants boobs,Drinking ,Wall outlet 
4/5/2023 21:08:54,Sleep,Diapers,Birth,Sing,Stuffed animal,Fart,Hungry,Clean,Movie,In public,Spit up,Bath time,Whine,Drugs,Litter box
4/5/2023 21:10:56,Sleep,Diapers,First steps,Sing,Rattle,Burp,Tired,Sleep,Airplane,Meeting,Spit up,Naps,Fart,Sleeping ,Stove
4/5/2023 21:11:24,Sleep,Diapers,First birthday ,Make weird sounds,Teddy,Fart,Hungry,Shower ,Airplane ,Driving car,Spit up,Sleep ,Burp,Sleep,Stove 
4/5/2023 21:11:43,Drinking,Diapers,First birthday,Read books,Stuffed animals,Fart,They’re teething,Have sex!,Restaurants ,Jury duty,Poop everywhere!,TV,Fart,Doing drugs,Knives
4/5/2023 21:14:44,Sleeping ,Diapers,First steps,Singing,Rattle,Fart,Gas,Sleep,Airplane,At work,Blowout,Snuggles,Want feeding ,Smoking,Electric sockets
4/5/2023 21:14:50,Flexible schedule ,Diapers,First steps ,Bounce,The fan,Pooping,Cold,Dishes,COVID ward,My own bed,Blow out,Naps,Is bald,Their boyfriend in the shower,Poop
4/5/2023 21:16:53,Freedom,Diapers,First step,Make faces,Stacking cups,Farting,Hungry,Rest,Nice restaurant,On an airplane,Had a blowout,Playing in dirt ,Whines,Drinking,Iron
4/5/2023 21:17:46,Sleep,Diapers,First steps,Sing,Rattle,Spit up,Hungry,Sex,Restaurant ,At work,Roll over,Sleep,Snore,Drinking,Outlets
4/5/2023 21:18:10,Sex,Diapers,First words,Funny noises,Rattle,Fart,Fart,Sleep,Airplane ,Public Speaking,Spit up everywhere ,Being held,Fart,Sleep,His own eyeball
4/5/2023 21:18:26,Sleeping in,Diapers,First word,Sing,Crinkly book,Farts,Tired,Sleep,Plane,Working,Have a blowout diaper,Being fed on demand,Doesn't pick up his dirty clothes,Drinking ,Outlets
4/5/2023 21:21:46,Spontaneous ,Diapers,Wedding,Silly faces,Baby einstein music toy,Fart,Hungry,Sleep,Restaurant ,Running errands,Blowout,Sleep,Poop,Drinking/smoking,Wires
4/5/2023 21:22:37,Sleep,Clothes,Birth,Silly voices,Teddy bear,Farts,Teething,Housework,Airplane,Airplane,Vomited,Sleeping,Drinks,Drugs,Electrical outlets
4/5/2023 21:22:42,Sleeping all night,Diapers,First word,Read stories,Teethers,Fart,Hungry,Clean,Airplane,Anywhere in public,Diaper blowout,Having someone else do everything for me,Sleep,Drugs,Power outlet
4/5/2023 21:24:26,Sex ,Diapers,First sports game ,Play peekaboo ,Rattle,Shit themselves ,No reason ,Fuck ,Plane,Driving ,Spit up ,Sleeping ,Cry ,Making TikTok’s ,Glasses 
4/5/2023 21:25:14,Sleep,Diapers,First steps,Peek a Boo,Rattle,Fart,Hungry,Clean,Airplane,Work,Poop blow out,Naps,Farts,Smoking ,Electrical outlet
4/5/2023 21:25:16,Freetime,Diapers,First steps,Sing,Ceiling fan,Cry when they're hungry,Over tired,Sleep,Airplane,On a friend's couch,Spit up everywhere,Sleep,Eats constantly ,Drugs,Outlet
4/5/2023 21:25:53,Sleeping in,Diapers,First steps,Make funny faces,Rattle,Farts,Hungry,Sleep,Movie theater,Driving,Diaper blow out,Napping,Snores,Drinking,Electrical outlet
4/5/2023 21:31:40,Spontaneity ,Diapers,First steps,Sing,Mirror,Farts,They’re too tired,Wash bottles/pump parts,Airplane,At work,Spit up,So many naps,Get cranky when hungry ,Drinking,Electronics
4/5/2023 21:31:56,Sleep,Diapers,Talking,Give them keys,Rattle,Fart,Hungry,Sleep,Plane,Car,Diaper blowout,Sleep,Cry,Smoking,Stove
4/5/2023 21:32:59,Sleep,Cute clothes ,First laugh ,Make faces,Rattle,Farts,Put down in crib,Sleep,Movies,Traveling ,Blowout diaper,Riding in a stroller,Sleeps,Drinking,Cat box
4/5/2023 21:33:20,sleep,diapers,birthday,funny faces,rattle,farts,dirty diaper,sleep,restaurant,in the car,poop explosion,sleep,cries,hanging with friends,sharp stuff
4/5/2023 21:33:26,Sleep,Diapers,First word,Sing songs,A mirror,Farts,Hungry,Sleep,Dinner,At the office,Spit up,Cuddles ,Cries,Sleeping,Outlet
4/5/2023 21:34:50,Traveling,baby clothes,First steps,Silly faces ,Mirror,Farts,Hungry ,Eat,Movie theater,Airplane ,Spit up,Stroller,Likes boobies ,Smoking,Oven
4/5/2023 21:34:56,Sleep,Diapers,First steps,Sing,Rattle,Pass gas,Hungry ,Sleep,Airplane,At work,Fell ,Not going to work,Whines ,Drugs,Electrical outlet
4/5/2023 21:35:27,Sleeping in ,Diapers ,First word,Sing ,Rattle ,Fart ,Hungry ,Eat ,Plane ,In public ,Poop ,Sleep ,Cranky when hungry ,Drinking ,Hot coffee
4/5/2023 21:40:54,Sleep,Diaper cream spatulas,First words,Peek-a-boo,Bath toy ,Breastfeed ,Too much noise,Watch TV uninterrupted,Movie theater,Airplane,Diaper blow out ,Napping all day,Fart freely,Distracted with their phone ,The dog’s butthole
4/5/2023 21:42:28,Sleep,Diapers,First steps,Make funny faces,Teddy bear,Farts,Tired,Sleep,Airplane,Cooking a turkey,Threw up,Napping,Sleeps,Meth,Electrical outlet
4/5/2023 21:44:05,Date Night,Formula,First step,Sing,Stacking cups,Poops their pants,Hungry,Sleep,Plane,At work,Spit up,No responsibilities ,Sleeps,Vaping,Outlets
4/5/2023 21:46:40,Going out ,Diapers ,Birthday,Dance ,Skip-hop entertainment center,Fart ,Hungry ,Sleep,Airplane,Driving,Pooped,Naps,Farts,Snoop,Stove
4/5/2023 21:46:55,Free time,Diapers,Birth ,Peek a boo,Plushie,Drool,Dirty diaper,Rock,Plane,On a plane,Spit up,The lack of worry about adult responsibilities ,Drink,Hooking up ,Pets
4/5/2023 21:47:08,Video games ,Take out ,Wedding,Peekaboo ,Rattle,Burp,Gotta poop,Bone,Movie theater,In public ,Baby threw up ,Naps,Spills food,Sleeping ,Electric outlet 
4/5/2023 21:48:10,Freedom,Diapers,Birth,Ms Rachel,Rattle,Fart,Hunger,Sleep,Airplane ,Airplane ,Threw up,Sleep,Whine,Drinking,Fire
4/5/2023 21:48:42,Dinner out ,Diapers,First steps,Make faces,Rattle,Screaming,Hungry,Shower,Airplane,Rollercoaster,Filled a diaper,Napping,Farts,Her boyfriend,Electrical outlet
4/5/2023 21:49:58,Sleeping in,Baby clothes ,First steps ,Sing,Rattle,Blows raspberries ,They’re hungry,Clean the house ,Airplane,At work,Spit up,Napping,Whines,Smoking,Electric cords/plugs/outlets
4/5/2023 21:50:35,Sleep,Diapers,Wedding,Peekaboo ,Teether,Fart,Hungry,Sleep,Movies ,Work,Blowout ,Cuddles,Farts,Drinking,Stove
4/5/2023 21:51:45,Sleep,Diapers,First words,Funny faces,Rattles,Fart,Hungry,Sleep,Airplane,At work,Peed on changing table,Sleeping all day,Sneeze,Drinking,Dog
4/5/2023 21:51:48,Sleep,Takeout,First steps,Talk to them,Fisher Price kick piano,Toot ,Hungry,Sleep,Airplane,Airplane,Big blowout diaper,Snuggles with mom,Smile ,Sleeping,Stove
4/5/2023 21:52:03,Sleep,Diapers,First steps,Sing,Rattle,Eats,Hungry,Sex,Plane,Camping ,Spit up ,Be carried around,Cries,Drinking,Hot plates 
4/5/2023 21:52:57,Sleeping in,Diapers,First words,Sing,Stacking rings,Makes a mess,Tired,Sleep,Airplane,At work,Throw up,Playing all day,Drool,Drinking,Outlet
4/5/2023 21:54:08,sleep,diapers,first words,sing,sophie,farts,poop,sleep,airplane,grocery store,blow out,sleep,burp,drink,outlet
4/5/2023 21:54:21,Privacy,Wipes,Wedding,Make faces,Stacking cups,Puke,Gas,Sex,Movies,Car,Poopsplosion ,Naps,Sleep,Drinking,Hair straightener 
4/5/2023 21:54:28,Sleep,Diapers,First Words,Sing,Rattle,Farts,Hungry,Sleep,Airplane ,Home Alone,Pooped,Sleeping,Snores,Sleeping,Oven
4/5/2023 21:55:47,Sleep,Nappies,First steps,Dance,Rattle,Farts,Hungry,Movie,Cinema,Driving,Pooped,Sleep,Farts,Drugs,Stove
